Finale,Genre,Notes,Premiere,Runtime,Seasons,Title
"May 12, 2020",Comedy,,"March 6, 2015",23–53 min,"4 seasons, 52 episodes",Unbreakable Kimmy Schmidt
"April 29, 2022",Comedy drama,,"May 8, 2015",25–35 min,"7 seasons, 94 episodes",Grace and Frankie
"July 31, 2015",Satirical comedy,,"July 31, 2015",27–30 min,"1 season, 8 episodes",Wet Hot American Summer: First Day of Camp
"May 23, 2021",Comedy,,"November 6, 2015",20–57 min,"3 seasons, 25 episodes",Master of None
"November 13, 2015",Sketch comedy,,"November 13, 2015",27–33 min,"1 season, 5 episodes",W/ Bob & David
"September 29, 2017",Comedy,,"December 1, 2015",24–38 min,"2 seasons, 16 episodes",Real Rob
"March 9, 2018",Romantic comedy,,"February 19, 2016",24–40 min,"3 seasons, 34 episodes",Love
"June 2, 2017",Comedy,,"March 11, 2016",30–34 min,"2 seasons, 14 episodes",Flaked
"March 11, 2016",Sketch comedy,,"March 11, 2016",27–38 min,"1 season, 8 episodes",Netflix Presents: The Characters
"January 24, 2020",Sitcom,,"April 1, 2016",25–36 min,"8 parts, 80 episodes",The Ranch
"November 10, 2017",Comedy,,"May 20, 2016",26–36 min,"2 seasons, 20 episodes",Lady Dynamite
"May 10, 2019",Romantic comedy anthology,,"September 22, 2016",26–52 min,"3 seasons, 25 episodes",Easy
"October 28, 2016",Mockumentary,,"October 28, 2016",22–30 min,"1 season, 8 episodes",Trailer Park Boys Out of the Park: Europe
"March 29, 2019",Comedy horror,,"February 3, 2017",26–35 min,"3 seasons, 30 episodes",Santa Clarita Diet
"April 21, 2017",Comedy,,"April 21, 2017",24–29 min,"1 season, 13 episodes",Girlboss
"September 22, 2021",Satirical comedy drama,,"April 28, 2017",21–39 min,"4 volumes, 40 episodes",Dear White People
"August 9, 2019",Comedy,,"June 23, 2017",27–46 min,"3 seasons, 30 episodes",GLOW
"January 11, 2019",Comedy,,"July 14, 2017",26–34 min,"2 seasons, 16 episodes",Friends from College
"August 4, 2017",Satirical comedy,,"August 4, 2017",24–31 min,8 episodes,Wet Hot American Summer: Ten Years Later
"July 9, 2021",Coming-of-age comedy,,"August 11, 2017",26–38 min,"4 seasons, 38 episodes",Atypical
"January 12, 2018",Comedy,,"August 25, 2017",23–32 min,"2 parts, 20 episodes",Disjointed
"September 14, 2018",Mockumentary,,"September 15, 2017",26–42 min,"2 seasons, 16 episodes",American Vandal
"May 24, 2019",Comedy drama,,"November 23, 2017",32–38 min,"2 seasons, 19 episodes",She's Gotta Have It
"November 24, 2017",Mockumentary,,"November 24, 2017",23–35 min,"1 season, 8 episodes",Trailer Park Boys Out of the Park: USA
"February 16, 2018",Coming-of-age comedy drama,,"February 16, 2018",23–27 min,"1 season, 10 episodes",Everything Sucks!
"October 4, 2021",Coming-of-age comedy,,"March 16, 2018",23–38 min,"4 seasons, 38 episodes",On My Block
"October 11, 2019",Dark comedy drama,,"August 10, 2018",40–53 min,"2 seasons, 22 episodes",Insatiable
"September 21, 2018",Dark comedy,,"September 21, 2018",27–47 min,10 episodes,Maniac
"September 21, 2018",Police procedural comedy drama,,"September 21, 2018",43–49 min,"1 season, 10 episodes",The Good Cop
"May 28, 2021",Comedy,,"November 16, 2018",22–37 min,"3 seasons, 22 episodes",The Kominsky Method
"September 21, 2023",Comedy drama,,"January 11, 2019",47–85 min,"4 seasons, 32 episodes",Sex Education
"April 20, 2022",Comedy,,"February 1, 2019",25–33 min,"2 seasons, 15 episodes",Russian Doll
"January 14, 2022",Dark comedy drama,,"March 8, 2019",25–35 min,"3 seasons, 18 episodes",After Life
